ID,Edad,Tipo_Trabajo,Estado_Civil,Educacion,mora,Vivienda,Vehiculo,Contacto,Mes,Dia,Campana,Dias_Ultima_Camp,No_Contactos,Resultado_Anterior,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,vlr_ingresos,segmento,perfil_riesgo,marg_cont,score_cliente,ah,cc,cdt,sum_saldo_prom_ah,sum_monto_trx_ah,sum_cant_trx_ah,sum_saldo_prom_cc,sum_monto_trx_cc,sum_cant_trx_cc,cdt_sum_valor_interes,cdt_sum_monto_apertura,cdt_prom_plazo_total_meses,buro_max_deuda,buro_num_creditos
78,42,emprendedor,casado,,,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,500000.0,masivo,4,10000.0,800,SI,,,399052.7236611919,36639.650956565354,13,0.0,0.0,0,0.0,0.0,0,13143396.875554057,1
85,52,administrador negocio,divorced,pregrado,no,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,2965648.768921554,masivo,2,59312.97537843108,900,,SI,,0.0,0.0,0,37111.70985990727,2602.0711994370718,6,0.0,0.0,0,16595405.791295279,8
87,48,empleado,divorciado,preescolar,,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1274223.6995134642,masivo,4,25484.473990269285,800,SI,,SI,105460.29986537843,9683.002640329956,17,0.0,0.0,0,47367.371721286225,157022.91637197023,42,6535814.411067472,8
91,50,administrador negocio,casado,primaria,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1567528.204687924,masivo,4,31350.56409375848,800,SI,,SI,395837.02040838427,36344.39612486848,11,0.0,0.0,0,15937.248259341532,382900.1380129737,26,12620462.836482977,6
92,56,pensionado,casado,preescolar,no,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,500000.0,masivo,1,10000.0,950,SI,SI,SI,13420.587782073051,1232.232291151062,14,337636.77238739026,23673.253660814036,8,31247.330237643833,939234.1995456398,47,18600071.494337026,6
93,41,tecnico,casado,Estudiante Universitario,,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,,masivo,4,19112.345509496346,800,SI,,SI,180098.70137044927,16536.04439885118,12,0.0,0.0,0,17255.697086717926,468312.5450167436,25,4298147.317553733,2
94,37,empleado,casado,primaria,no,si,si,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1610922.589709866,masivo,4,32218.45179419732,800,SI,,SI,306380.0927629316,28130.76817489626,10,0.0,0.0,0,45673.61464156351,1653116.1248575829,21,17162765.27869661,6
96,35,empleado,casado,,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,500000.0,masivo,1,10000.0,950,SI,SI,,123175.42045980418,11309.544189221395,13,458464.8691589413,32145.06247476756,13,0.0,0.0,0,3715451.7463249876,5
97,37,empleado,casado,primaria,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1875698.018345672,masivo,4,37513.96036691344,800,,,,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,7272558.037075368,7
99,39,Vive de los arriendos,divorced,pregrado,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,899361.310081195,masivo,2,17987.2262016239,900,,SI,,0.0,0.0,0,485816.5866718241,34062.81610735615,14,0.0,0.0,0,8641289.58299858,7
103,45,empleado,casado,bachillerato incompleto,,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1208306.2502067233,masivo,2,24166.12500413447,900,,SI,,0.0,0.0,0,88243.2822381213,6187.138887493611,16,0.0,0.0,0,12070838.885767847,6
104,43,desempleado,single,pregrado,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,898293.3877706031,masivo,4,17965.867755412062,800,,SI,SI,0.0,0.0,0,379138.44588459696,26583.12522812188,5,22935.236176291957,731434.5496727488,27,3612869.6008112417,3
109,42,empleado,casado,preescolar,,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,,preferente,4,167613.9092254469,800,,SI,SI,0.0,0.0,0,108783.07412019485,7627.277353237385,11,6887.300758613686,946366.1326692614,17,9820779.372436732,7
115,56,emprendedor,casado,,,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1486502.7752620662,masivo,4,29730.055505241326,800,SI,SI,SI,107556.06558943908,9875.428653393612,6,360753.852739281,25294.097573040013,12,48576.87193801303,315431.69623219356,25,18862497.70758376,5
117,36,empleado,casado,bachillerato incompleto,no,si,si,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,500000.0,masivo,4,10000.0,800,,SI,SI,0.0,0.0,0,138530.79672539534,9713.025828099726,8,48693.24269198181,1516239.8969691226,26,6822332.046922827,5
119,51,empleado,casado,,,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,2322544.912103189,masivo,4,46450.898242063784,800,,SI,,0.0,0.0,0,172529.06961217272,12096.79976476918,5,0.0,0.0,0,4514739.0551761985,2
121,59,servicios,casado,bachillerato,no,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,500000.0,masivo,4,10000.0,800,SI,,,256620.29993762868,23561.99484574078,8,0.0,0.0,0,0.0,0.0,0,1037226.2830852395,9
126,37,emprendedor,casado,primaria,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1708863.5950047553,masivo,4,34177.271900095104,800,,SI,SI,0.0,0.0,0,26445.96760945411,1854.2473768407,5,44207.87416180456,1082412.7141908468,37,14148550.341302307,8
127,38,servicios,casado,bachillerato,no,si,si,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,500000.0,masivo,4,10000.0,800,SI,,SI,100118.39560032442,9192.527331906442,9,0.0,0.0,0,49915.45020316119,1715408.305120683,9,10121459.404103426,1
128,56,administrador negocio,divorced,,,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,500000.0,masivo,4,10000.0,800,,,SI,0.0,0.0,0,0.0,0.0,0,49641.389952266385,671230.2384826996,11,10612590.549318625,1
131,36,servicios,casado,bachillerato,,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1696861.2358691236,masivo,2,33937.22471738247,900,,,SI,0.0,0.0,0,0.0,0.0,0,38356.462712047985,807704.9084882,45,19530172.92342026,4
132,45,tecnico,casado,pregrado,no,si,si,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,2238466.5799954105,masivo,4,44769.33159990821,800,,,SI,0.0,0.0,0,0.0,0.0,0,16533.389180435504,629067.3891938631,28,5012044.360977653,8
134,46,Vive de los arriendos,casado,bachillerato incompleto,no,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1671368.2811899704,masivo,4,33427.36562379941,800,SI,,,85456.13456672228,7846.288866030569,11,0.0,0.0,0,0.0,0.0,0,16772776.228892168,1
136,51,administrador negocio,single,primaria,no,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1384351.7176117594,masivo,2,27687.03435223519,900,SI,,,86127.73730701939,7907.953123726129,7,0.0,0.0,0,0.0,0.0,0,3544742.321654968,2
137,28,servicios,casado,bachillerato,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1198896.3044107112,masivo,4,23977.926088214223,800,,,,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,9198488.307966707,2
143,57,Vive de los arriendos,casado,pregrado,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,500000.0,masivo,4,10000.0,800,SI,SI,,358520.0641041133,32918.0813231413,10,384246.9793949454,26941.307806311233,9,0.0,0.0,0,13122977.956851764,5
149,45,Vive de los arriendos,divorced,pregrado,no,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,780155.7916052913,masivo,4,15603.115832105826,800,SI,SI,SI,174820.7010352931,16051.436529859548,11,114461.37017360321,8025.408581311391,14,19899.588193346477,1718265.8951611365,18,17017396.827370927,5
152,37,administrador negocio,casado,bachillerato,,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1039361.2290402125,masivo,4,20787.22458080425,800,,,,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,14489338.405572945,9
153,40,administrador negocio,casado,bachillerato incompleto,,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,2557122.2262189155,masivo,1,51142.44452437831,950,,,,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,12550489.765822079,7
159,35,estudiante,single,pregrado,,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1843618.2895684615,masivo,4,36872.36579136923,800,SI,SI,,205154.15784010835,18836.550385085608,10,441742.8179230745,30972.60321377923,12,0.0,0.0,0,446052.777620891,9
162,36,estudiante,single,bachillerato incompleto,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,500000.0,masivo,4,10000.0,800,SI,SI,,260119.30675275708,23883.261637819607,6,317739.3352080975,22278.153612277078,10,0.0,0.0,0,11241006.543072745,6
163,55,ama de casa,divorced,pregrado,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1824083.9693947951,masivo,4,36481.67938789591,800,,SI,SI,0.0,0.0,0,405232.4031234019,28412.69155278722,5,38365.811477445655,1341642.3681883253,26,7429605.74174802,9
164,57,pensionado,casado,,,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1114917.7195836834,masivo,1,22298.354391673667,950,SI,SI,SI,121502.35328626294,11155.928905749517,13,436247.1163024946,30587.274513980912,12,40335.735692985785,319291.08925230603,22,19356866.740204684,9
169,40,servicios,casado,bachillerato,no,no,no,telefono fijo,may,mon,3,999,0,sin contacto,1.1,93994,-36.4,4857,5191,823077.9996940413,masivo,4,16461.559993880826,800,SI,,,392204.8447490579,36010.90222674478,10,0.0,0.0,0,0.0,0.0,0,6599558.278219431,7
171,36,servicios,single,primaria,,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,2111676.288840868,masivo,2,42233.52577681736,900,,SI,,0.0,0.0,0,339980.26451878896,23837.566579950315,11,0.0,0.0,0,2159642.076801856,7
172,46,tecnico,casado,preescolar,,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,2530999.522495951,masivo,4,50619.99044991902,800,,SI,,0.0,0.0,0,23027.769956117812,1614.5819531427583,10,0.0,0.0,0,2978851.2916020183,4
174,58,pensionado,casado,pregrado,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,2431280.1191161987,masivo,4,48625.602382323974,800,,SI,SI,0.0,0.0,0,253218.4040949236,17754.296930808818,6,39616.981428619314,1425743.813648023,41,13845324.27205154,5
175,43,pensionado,casado,preescolar,,no,no,telefono fijo,may,mon,3,999,0,sin contacto,1.1,93994,-36.4,4857,5191,660782.4767773615,masivo,2,13215.649535547229,900,SI,SI,SI,384199.96371520194,35275.92153462368,9,114130.08595674201,8002.1807342847615,15,22555.398672191728,1469504.1293450533,33,8306996.038812939,6
176,45,empleado,casado,preescolar,no,si,si,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1190787.6241487854,masivo,2,23815.75248297571,900,,SI,SI,0.0,0.0,0,66108.5456589454,4635.171576442215,6,12739.620666816712,1964540.7938528256,27,7990594.451421557,3
179,32,Vive de los arriendos,divorciado,preescolar,,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1831263.4314035638,masivo,2,36625.26862807128,900,,,SI,0.0,0.0,0,0.0,0.0,0,47821.83433270518,237711.81708912677,16,7658918.905453295,5
183,56,empleado,casado,preescolar,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,2475545.1271223594,masivo,4,49510.90254244719,800,,,SI,0.0,0.0,0,0.0,0.0,0,48049.918825698216,784602.3363887981,59,19194694.88812878,7
185,43,Vive de los arriendos,casado,pregrado,,no,si,telefono fijo,may,mon,3,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1020825.76215471,masivo,1,20416.5152430942,950,SI,,SI,317905.1576459347,29188.960061649366,9,0.0,0.0,0,16344.360111653508,607147.2406908184,31,2973115.9982973435,2
188,30,tecnico,casado,pregrado,,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1314341.0233361828,masivo,4,26286.820466723657,800,,,,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,16882074.510412447,7
189,33,servicios,divorced,,no,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,500000.0,masivo,2,10000.0,900,,,,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,17124616.139827777,7
190,32,tecnico,single,Estudiante Universitario,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,500000.0,masivo,2,10000.0,900,,,,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,13207954.599251017,4
191,36,tecnico,single,bachillerato,no,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,2312525.822394198,masivo,2,46250.51644788396,900,SI,,SI,443519.79574952734,40722.46483997674,14,0.0,0.0,0,43934.28446431255,915993.8285592556,25,5359805.916758013,4
193,33,servicios,single,bachillerato,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,2856240.028570823,masivo,2,57124.80057141646,900,,,,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,12453622.19771664,8
196,51,servicios,casado,primaria,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1427989.878419666,masivo,4,28559.797568393322,800,,,,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1478763.1078644767,1
200,45,Vive de los arriendos,casado,bachillerato incompleto,no,no,si,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,2503532.8978920244,masivo,4,50070.657957840485,800,,,,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,18664184.821564715,6
202,33,administrador negocio,casado,bachillerato,no,no,si,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1861636.0250476343,masivo,1,37232.72050095269,950,SI,SI,SI,133750.61851895184,12280.522565534127,7,131429.9073386916,9215.150094718567,10,47625.70054550064,1372284.7631316937,30,13382774.573646491,5
206,42,administrador negocio,casado,pregrado,no,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,854880.2453948758,masivo,2,17097.604907897516,900,SI,SI,SI,331733.99578551436,30458.676498917008,9,250320.94512660097,17551.142870769992,5,22183.443368383927,1714894.6022141762,35,2947450.107970168,2
208,34,vendedor ambulante,single,pregrado,no,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1861395.6055084139,masivo,2,37227.912110168276,900,SI,,,249658.03777596782,22922.743838678518,10,0.0,0.0,0,0.0,0.0,0,15605744.784947945,2
211,40,vendedor ambulante,casado,preescolar,,no,no,telefono fijo,may,mon,3,999,0,sin contacto,1.1,93994,-36.4,4857,5191,3038036.566465969,preferente,4,151901.82832329845,800,SI,,SI,113511.73027569258,10422.257336372206,9,0.0,0.0,0,21877.67766951603,483423.8629357321,9,6326568.978469248,6
217,34,servicios,casado,bachillerato,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1464173.9608900484,masivo,4,29283.47921780097,800,,,SI,0.0,0.0,0,0.0,0.0,0,47365.3644511638,1020054.2383323249,33,900151.2702796614,8
218,47,empleado,casado,primaria,no,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,3064643.655814006,preferente,2,153232.18279070032,900,SI,,SI,44618.92778230095,4096.756751841438,14,0.0,0.0,0,32912.75262137165,1704923.8509583622,12,4704682.52119624,6
220,36,empleado,casado,bachillerato incompleto,no,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,500000.0,masivo,4,10000.0,800,SI,,SI,297071.51975434576,27276.086961824618,10,0.0,0.0,0,48383.61778790361,1057198.5623250345,18,13031002.09322038,1
223,39,ama de casa,casado,bachillerato incompleto,no,si,no,telefono fijo,may,mon,3,999,0,sin contacto,1.1,93994,-36.4,4857,5191,2321902.504375224,masivo,1,46438.05008750448,950,SI,SI,,381540.16169799794,35031.707645717455,10,84130.87331411068,5898.799146159397,13,0.0,0.0,0,13070645.070970124,3
224,37,administrador negocio,single,bachillerato,no,si,si,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1587047.0682381713,masivo,1,31740.941364763425,950,SI,SI,,347933.294802256,31946.04051505232,14,114549.36675101514,8031.578422598601,14,0.0,0.0,0,19106936.423010238,1
233,36,administrador negocio,casado,pregrado,no,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1200992.6495341326,masivo,2,24019.85299068265,900,,SI,,0.0,0.0,0,455572.6270220074,31942.274190564996,9,0.0,0.0,0,7597599.967822034,4
236,59,pensionado,casado,Estudiante Universitario,,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1591760.7765355024,masivo,1,31835.215530710047,950,,SI,,0.0,0.0,0,187649.72304250553,13156.977723593001,17,0.0,0.0,0,15633012.784061912,4
244,27,administrador negocio,single,pregrado,no,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,500000.0,masivo,2,10000.0,900,,,,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,9720362.210043412,4
245,58,empleado,casado,Estudiante Universitario,,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1280328.112162488,masivo,4,25606.562243249762,800,SI,SI,SI,318134.4194413581,29210.010092544835,7,15711.086418466333,1101.5759078652252,4,8503.465155555856,1685305.9733433085,52,14977684.428211145,5
246,40,Vive de los arriendos,casado,pregrado,,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1857112.5715117464,masivo,1,37142.25143023493,950,,SI,SI,0.0,0.0,0,378956.2791669247,26570.352688906085,16,12432.41073276126,1576709.3930000763,48,10097589.414955793,3
263,49,emprendedor,casado,bachillerato,no,si,no,telefono fijo,may,mon,4,999,0,sin contacto,1.1,93994,-36.4,4857,5191,2977894.044741516,masivo,2,59557.88089483032,900,SI,SI,SI,119677.22770119473,10988.352141017114,11,151403.11022497894,10615.56242244772,5,48765.920729097204,188759.357597159,35,9408876.769393532,7
264,42,tecnico,single,Estudiante Universitario,,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,981729.7817263526,masivo,4,19634.595634527053,800,SI,,SI,138130.59174601472,12682.67666879728,11,0.0,0.0,0,8068.539820969245,161470.90326942885,6,7736202.74730086,1
267,32,servicios,single,bachillerato,no,si,no,telefono fijo,may,mon,3,999,0,sin contacto,1.1,93994,-36.4,4857,5191,691506.3971068123,masivo,4,13830.127942136247,800,,SI,,0.0,0.0,0,107442.95229526935,7533.315301433814,7,0.0,0.0,0,802487.8447842372,9
268,57,,casado,,,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,998242.9564154635,masivo,2,19964.85912830927,900,,,SI,0.0,0.0,0,0.0,0.0,0,48917.35231226648,1485199.995142651,55,16889089.24258789,2
270,52,tecnico,casado,bachillerato,no,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,2415402.1177020743,masivo,2,48308.042354041485,900,SI,SI,SI,281382.80767445965,25835.60328515355,9,263633.94829596207,18484.578227313155,9,22993.889893754837,233768.39717865078,34,12663885.584588205,8
271,50,servicios,divorced,Estudiante Universitario,no,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1828751.1096596844,masivo,2,36575.02219319369,900,SI,SI,SI,64275.09047900791,5901.518122081505,13,319323.1536499146,22389.202345093396,10,43656.46731071006,175742.28300745905,15,9657192.122675175,1
273,33,emprendedor,casado,pregrado,no,si,no,telefono fijo,may,mon,3,999,0,sin contacto,1.1,93994,-36.4,4857,5191,970239.7962329612,masivo,4,19404.795924659225,800,,,,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,11016672.433198206,4
275,55,tecnico,casado,Estudiante Universitario,no,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,2013267.4331133561,masivo,2,40265.348662267126,900,,,,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,4036012.4057102725,7
276,38,Vive de los arriendos,casado,pregrado,no,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1597077.5493480405,masivo,4,31941.55098696081,800,SI,,,451073.9905338314,41416.065068075426,12,0.0,0.0,0,0.0,0.0,0,19040256.75347988,1
